imf_ccode,year,art8,restrict,flexible,gnpcap,regnorm,gdpgrow,resgdp,bopgdp,useimfcr,surveil,univers,resvol,totvol,tradedep,lastrest,lastrest2,lastrest3,military,termlim,parli,shift_left,leftshift_inc,rightshift_inc,leftshift_exc,rightshift_exc,leftshift_inc_leg,rightshift_inc_leg,leftshift_exc_leg,rightshift_exc_leg,shift_left_fixed,leftrule,l_leftshift_inc,l_rightshift_inc,l_leftshift_exc,l_rightshift_exc,l_leftshift_inc_leg,l_rightshift_inc_leg,l_leftshift_exc_leg,l_rightshift_exc_leg,year2,year3,interact1,interact2,interact3,interact4,interact5
62,1973,1,1,1,1040,70.37036895751953,2.008068561553955,0.025767400860786438,-2.067002058029175,1,0,30.894309997558594,-3.2295753955841064,2.9407958984375,34.34368896484375,3,9,27,-0.3897803834982018,0.6027693311874749,0.43187899702450433,0.38032798820492963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3892729,7680354304,NA,NA,NA,NA,NA
62,1974,1,1,0,1210,71.42857360839844,1.2577877044677734,0.015583500266075134,-2.4362690448760986,1,0,33.8709716796875,-3.2295753955841064,2.9407958984375,38.9454460144043,0,0,0,-0.25147370529943774,1.2847502514685982,0.9517956315490094,0.3070382436052017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3896676,7692038656,NA,NA,NA,NA,NA
62,1975,1,1,0,1380,71.42857360839844,-3.084545612335205,0.01932400092482567,-1.2889870405197144,1,0,35.48387145996094,-3.2295753955841064,2.9407958984375,34.26184844970703,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3900625,7703734272,NA,NA,NA,NA,1
62,1976,1,1,0,1390,68.96551513671875,2.3635971546173096,0.02921769954264164,-0.6419162154197693,1,0,35.43307113647461,-3.2295753955841064,2.9407958984375,35.75686264038086,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3904576,7715442176,0,0,0,0,1
62,1977,1,1,0,1470,72.413787841796875,-2.6036741733551025,0.022182799875736237,-2.972960948944092,1,0,36.2204704284668,-3.2295753955841064,2.9407958984375,38.55385208129883,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,3908529,7727161856,0,0,0,0,1
62,1978,1,1,0,1460,75.86206817626953,9.882210731506348,0.0014550000196322799,-12.302639961242676,1,1,36.64122009277344,-3.2295753955841064,2.9407958984375,41.82662582397461,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,3912484,7738893312,0,0,0,0,1
62,1979,1,1,1,1310,73.33333587646484,0.7767866253852844,0.0022513000294566154,-13.763580322265625,1,1,35.29412078857422,-3.2295753955841064,2.9407958984375,40.56777572631836,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,3916441,7750636544,0,0,0,0,1
62,1980,1,1,0,1220,71.875,-9.798515319824219,0.007377800066024065,-10.093210220336914,1,1,36.42856979370117,-3.2295753955841064,2.9407958984375,34.066993713378906,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,3920400,7762392064,0,0,0,0,1
62,1981,1,1,0,1290,78.125,-1.9000544548034668,0.005660399794578552,-8.489225387573242,1,1,38.29787063598633,-3.2295753955841064,2.9407958984375,32.17283630371094,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,NA,0,0,0,0,0,0,0,0,0,3924361,7774159360,0,0,0,0,0
62,1982,1,1,0,1280,76.47058868408203,0.8975430727005005,0.00832279957830906,-7.036602020263672,1,1,37.67123031616211,-3.2295753955841064,2.9407958984375,29.318824768066406,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,1,0,1,0,1,3928324,7785937920,0,0,0,0,0
